ColetadoEm,OrigemSite,NomeBruto,DataBruta,LocalBruto,LinkOrigemConecta,LinkFinal,Link,DataParseada,InRange,DuplicadoCSV,DuplicadoLote,Aprovado,MotivoExclusao
2026-02-22T05:16:01.386Z,sympla.com.br,GOLA20 | Pabllo Vittar + Tati Quebra Barraco + Gola Djs,2026-05-09T20:00:00-03:00,Universidade Federal de Pernambuco - Avenida Professor Moraes Rego 1235 - Recife,,https://www.sympla.com.br/evento/gola20-pabllo-vittar-tati-quebra-barraco-gola-djs/3253639,https://www.sympla.com.br/evento/gola20-pabllo-vittar-tati-quebra-barraco-gola-djs/3253639,09-05-2026,false,false,false,false,fora_intervalo
2026-02-22T05:16:01.386Z,bileto.sympla.com.br,"Sympla - Ingressos para Eventos, Teatros, Shows e mais",27 de Mar,Recife,,https://bileto.sympla.com.br/event/115027,https://bileto.sympla.com.br/event/115027,27-03-2026,true,false,false,false,titulo_generico
2026-02-22T05:16:01.386Z,sympla.com.br,RESSACA DE CARNAVAL - SÁBADO - 21 FEV,2026-02-21T23:00:00-03:00,HAUS - Rua Silvino Macedo 153 Maurício de Nassau - Caruaru,,https://www.sympla.com.br/evento/ressaca-de-carnaval-sabado-21-fev/3315712,https://www.sympla.com.br/evento/ressaca-de-carnaval-sabado-21-fev/3315712,21-02-2026,false,false,false,false,fora_intervalo
2026-02-22T05:16:01.386Z,bileto.sympla.com.br,"Sympla - Ingressos para Eventos, Teatros, Shows e mais",19 de Abr,Recife Centro de Eventos Recife - Recife,,https://bileto.sympla.com.br/event/115511,https://bileto.sympla.com.br/event/115511,19-04-2026,false,false,false,false,titulo_generico|fora_intervalo
2026-02-22T05:16:01.386Z,sympla.com.br,Bailao Nerd - Recife (Ressaca de Carnaval),2026-02-21T22:00:00-03:00,Estelita Bar - Avenida Saturnino de Brito 385 Cabanga - Recife,,https://www.sympla.com.br/evento/bailao-nerd-recife-ressaca-de-carnaval/3252373,https://www.sympla.com.br/evento/bailao-nerd-recife-ressaca-de-carnaval/3252373,21-02-2026,false,false,false,false,fora_intervalo
2026-02-22T05:16:01.386Z,bileto.sympla.com.br,"Sympla - Ingressos para Eventos, Teatros, Shows e mais",13 de Mar,Recife,,https://bileto.sympla.com.br/event/115718,https://bileto.sympla.com.br/event/115718,13-03-2026,true,false,false,false,titulo_generico
2026-02-22T05:16:01.386Z,sympla.com.br,RESENHA DO ASSIS,2024-11-15T11:55:00-03:00,Seu Geraldo Boteco - Avenida Rodolfo Aureliano 144 Vila Torres Galvão - Paulista,,https://www.sympla.com.br/evento/resenha-do-assis/2694292,https://www.sympla.com.br/evento/resenha-do-assis/2694292,15-11-2024,false,false,false,false,fora_intervalo
2026-02-22T05:16:01.386Z,sympla.com.br,BEATS - 2 Horas de beats - Sábado - 25/Abril,2026-04-25T22:00:00-03:00,Clube Metrópole - Rua das Ninfas 125 Boa Vista - Recife,,https://www.sympla.com.br/evento/beats-2-horas-de-beats-sabado-25-abril/3292276,https://www.sympla.com.br/evento/beats-2-horas-de-beats-sabado-25-abril/3292276,25-04-2026,false,false,false,false,fora_intervalo
2026-02-22T05:16:01.386Z,sympla.com.br,Saidinha,2026-03-22T12:00:00-03:00,Summer House - Avenida Capitão João Gonçalves da Luz 77 São Benedito - Olinda,,https://www.sympla.com.br/evento/saidinha/3293583,https://www.sympla.com.br/evento/saidinha/3293583,22-03-2026,true,false,false,true,
2026-02-22T05:16:01.386Z,sympla.com.br,REBEL XX - Sábado - 11/ABRIL,2026-04-11T22:00:00-03:00,Clube Metrópole - Rua das Ninfas 125 Boa Vista - Recife,,https://www.sympla.com.br/evento/rebel-xx-sabado-11-abril/3291486,https://www.sympla.com.br/evento/rebel-xx-sabado-11-abril/3291486,11-04-2026,false,false,false,false,fora_intervalo
2026-02-22T05:16:01.386Z,sympla.com.br,O GRANDE ENCONTRO - MANHATTAN,2026-02-27T20:00:00-03:00,Manhattan Café Theatro - Rua Francisco da Cunha 881 Boa Viagem - Recife,,https://www.sympla.com.br/evento/o-grande-encontro-manhattan/3299595,https://www.sympla.com.br/evento/o-grande-encontro-manhattan/3299595,27-02-2026,true,false,false,true,
2026-02-22T05:16:01.386Z,sympla.com.br,SEXTA-FEIRA 13 UNDERGROUND!,2026-03-13T20:00:00-03:00,Budega do Selva - Praça do Derby 17 Derby - Recife,,https://www.sympla.com.br/evento/sexta-feira-13-underground/3302396,https://www.sympla.com.br/evento/sexta-feira-13-underground/3302396,13-03-2026,true,false,false,true,
2026-02-22T05:16:01.386Z,sympla.com.br,Seu Pereira e Coletivo 401 em Recife / PE,2026-03-21T21:00:00-03:00,Frege - Avenida Rio Branco 155 Recife - Recife,,https://www.sympla.com.br/evento/seu-pereira-e-coletivo-401-em-recife-pe/3309327,https://www.sympla.com.br/evento/seu-pereira-e-coletivo-401-em-recife-pe/3309327,21-03-2026,true,false,false,true,
2026-02-22T05:16:01.386Z,sympla.com.br,SÓ OS LOUCOS SABEM | Caruaru - PE ( Gravação do DVD ),2026-05-16T21:00:00-03:00,FULLANO HALL - Avenida Agamenon Magalhães 1200 Maurício de Nassau - Caruaru,,https://www.sympla.com.br/evento/so-os-loucos-sabem-caruaru-pe-gravacao-do-dvd/3283548,https://www.sympla.com.br/evento/so-os-loucos-sabem-caruaru-pe-gravacao-do-dvd/3283548,16-05-2026,false,false,false,false,fora_intervalo
2026-02-22T05:16:01.386Z,sympla.com.br,Show de temporada Rock 101 e Performance,2026-04-12T13:00:00-03:00,Mirante do Paço - Travessa do Amorim 75 - Recife,,https://www.sympla.com.br/evento/show-de-temporada-rock-101-e-performance/3283238,https://www.sympla.com.br/evento/show-de-temporada-rock-101-e-performance/3283238,12-04-2026,false,false,false,false,fora_intervalo
2026-02-22T05:16:01.386Z,sympla.com.br,SÓ OS LOUCOS SABEM | Recife-PE,2026-03-28T21:00:00-03:00,Estelita Bar - Avenida Saturnino de Brito 385 Cabanga - Recife,,https://www.sympla.com.br/evento/so-os-loucos-sabem-recife-pe/3289587,https://www.sympla.com.br/evento/so-os-loucos-sabem-recife-pe/3289587,28-03-2026,true,false,false,true,
2026-02-22T05:16:01.386Z,sympla.com.br,NOITE DAS BLOGUEIRAS - COM MADRINHA 13|MARÇO SEXTA,2026-03-13T22:00:00-03:00,Clube Metrópole - Rua das Ninfas 125 Boa Vista - Recife,,https://www.sympla.com.br/evento/noite-das-blogueiras-com-madrinha-13-marco-sexta/3307887,https://www.sympla.com.br/evento/noite-das-blogueiras-com-madrinha-13-marco-sexta/3307887,13-03-2026,true,false,false,true,
2026-02-22T05:16:01.386Z,sympla.com.br,360 HYPERCLUB,2026-03-06T22:00:00-03:00,Estelita - Saturnino de Brito 385 Cabanga - Recife,,https://www.sympla.com.br/evento/360-hyperclub/3307795,https://www.sympla.com.br/evento/360-hyperclub/3307795,06-03-2026,true,false,false,true,
2026-02-22T05:16:01.386Z,sympla.com.br,TAURUS EM RECIFE - 07 DE MARÇO 2026 @DARKSIDERECIFE,2026-03-07T19:00:00-03:00,Darkside studio - Rua Barão de São Borja 89 - Recife,,https://www.sympla.com.br/evento/taurus-em-recife-07-de-marco-2026-darksiderecife/3300060,https://www.sympla.com.br/evento/taurus-em-recife-07-de-marco-2026-darksiderecife/3300060,07-03-2026,true,false,false,true,
